Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	region
St. Johns	-4.65483871	-5.325	-2.532258065	1.256666667	5.793548387	10.78666667	15.20645161	15.28064516	11.62333333	7.019354839	2.953333333	-1.84516129	Atlantic
Halifax	-6.158064516	-6.182142857	-1.738709677	3.623333333	9.441935484	14.77666667	18.38064516	18.20322581	13.86666667	8.490322581	3.24	-2.987096774	Atlantic
Sydney	-5.722580645	-6.796428571	-2.935483871	1.85	7.496774194	13.14	17.48709677	17.63548387	13.30666667	8.274193548	3.533333333	-2.029032258	Atlantic
Yarmouth	-3.216129032	-3.489285714	0.151612903	4.686666667	9.341935484	13.40333333	16.29354839	16.59677419	13.59333333	9.24516129	4.9	-0.464516129	Atlantic
Charlottvl	-8.112903226	-8.260714286	-3.441935484	2.316666667	8.758064516	14.44333333	18.29354839	17.97741935	13.44	8.029032258	2.573333333	-4.151612903	Atlantic
Fredericton	-9.922580645	-8.739285714	-2.587096774	4.06	10.78709677	16.20666667	19.23548387	18.30645161	13.00333333	7.3	1.17	-6.587096774	Atlantic
Scheffervll	-23.71290323	-22.375	-15.88064516	-7.35	0.909677419	8.233333333	12.37096774	10.9483871	5.353333333	-1.44516129	-9.2	-19.68064516	Atlantic
Arvida	-15.35806452	-13.23214286	-5.822580645	2.95	10.19677419	16.00333333	18.66451613	17.05806452	11.95	5.964516129	-1.156666667	-11.03870968	Atlantic
Bagottville	-16.23548387	-14.30357143	-6.590322581	2.266666667	9.329032258	15.37333333	17.93870968	16.45806452	11.02	4.983870968	-2.356666667	-11.97096774	Atlantic
Quebec	-12.78064516	-11.27857143	-4.674193548	3.293333333	10.90967742	16.38	19.0483871	17.6483871	12.49666667	6.458064516	-0.54	-8.983870968	Atlantic
Sherbrooke	-11.81612903	-10.65357143	-4.035483871	3.926666667	10.79032258	15.49	17.97096774	16.68709677	11.96333333	6.380645161	-1.82E-17	-8.219354839	Atlantic
Montreal	-10.53225806	-9.057142857	-2.512903226	5.723333333	12.99354839	18.04	20.82903226	19.41612903	14.51666667	8.283870968	1.663333333	-6.767741935	Atlantic
Ottawa	-11.08387097	-9.417857143	-2.829032258	5.633333333	12.92580645	17.97333333	20.78064516	19.23225806	14.21	7.848387097	1.013333333	-7.506451613	Atlantic
Toronto	-6.806451613	-6.1	-0.790322581	6.156666667	12.4	17.49666667	20.53225806	19.49354839	15.13666667	8.896774194	3.22	-3.316129032	Atlantic
London	-6.751612903	-6.214285714	-0.603225806	6.303333333	12.66129032	17.71666667	20.29354839	19.26129032	15.19666667	9.067741935	3.25	-3.309677419	Atlantic
Thunderbay	-15.05806452	-12.65714286	-5.641935484	2.683333333	9.041935484	13.85666667	17.58709677	16.48387097	11.12666667	5.261290323	-2.806666667	-11.31612903	Continental
Winnipeg	-18.31935484	-14.94285714	-6.793548387	3.82	11.70322581	16.92	19.59032258	18.34193548	12.24333333	5.506451613	-4.916666667	-14.57741935	Continental
The Pas	-21.34193548	-17.425	-9.680645161	0.57	8.722580645	14.69666667	17.61290323	16.37419355	9.85	3.316129032	-7.753333333	-17.8483871	Continental
Churchill	-27.04193548	-25.60714286	-20.18064516	-10.25333333	-1.132258065	6.313333333	11.82580645	11.3516129	5.463333333	-1.612903226	-12.64333333	-22.75483871	Continental
Regina	-16.49677419	-12.83571429	-5.65483871	4.22	11.47096774	16.37333333	18.86129032	18.03225806	11.62333333	4.993548387	-5.143333333	-13.48709677	Continental
Pr. Albert	-19.76129032	-15.86428571	-8.283870968	2.77	10.40967742	15.13333333	17.46451613	16.12580645	9.963333333	3.587096774	-7.54	-16.8483871	Continental
Uranium Cty	-26.88709677	-22.29285714	-15.0516129	-2.483333333	6.909677419	13.28	16.19677419	14.46774194	7.293333333	0.435483871	-11.77	-22.18709677	Continental
Edmonton	-14.07419355	-10.8	-5.080645161	3.836666667	10.38064516	14.20333333	15.98387097	15.05806452	9.97	4.522580645	-5.663333333	-12.08387097	Continental
Calgary	-9.44516129	-6.285714286	-2.241935484	4.276666667	9.767741935	13.94333333	16.2483871	15.64193548	10.66	5.590322581	-2.986666667	-8.003225806	Continental
Kamloops	-4.793548387	-0.55	4.558064516	9.53	14.22580645	18.29333333	20.82903226	20.31290323	15.01	8.506451613	1.63	-3.167741935	Pacific
Vancouver	2.983870968	4.746428571	6.383870968	8.943333333	12.27741935	15.23	17.29032258	17.43225806	14.35666667	10.02903226	5.963333333	3.519354839	Pacific
