"math" "writing" "gender" "race.ethnicity" "parental.level.of.education" "lunch" "test.preparation.course"
72 2677.7216 "female" "group B" "bachelor's degree" "standard" "none"
69 4701.5056 "female" "group C" "some college" "standard" "completed"
90 5745.8321 "female" "group B" "master's degree" "standard" "none"
47 1133.6336 "male" "group A" "associate's degree" "free/reduced" "none"
76 2785.0625 "male" "group C" "some college" "standard" "none"
71 3138.1376 "female" "group B" "associate's degree" "standard" "none"
88 5521.2176 "female" "group B" "some college" "standard" "completed"
40 1070.7281 "male" "group B" "some college" "free/reduced" "none"
64 2055.6001 "male" "group D" "high school" "free/reduced" "completed"
38 1256 "female" "group B" "high school" "free/reduced" "none"
58 1311.1696 "male" "group C" "associate's degree" "standard" "none"
40 1118.5921 "male" "group D" "associate's degree" "standard" "none"
65 2575.2961 "female" "group B" "high school" "standard" "none"
78 2296 "male" "group A" "some college" "standard" "completed"
50 1530.8416 "female" "group A" "master's degree" "standard" "none"
69 3138.1376 "female" "group C" "some high school" "standard" "none"
88 4336.2176 "male" "group C" "high school" "standard" "none"
18 1010.4976 "female" "group B" "some high school" "free/reduced" "none"
46 1167.9616 "male" "group C" "master's degree" "free/reduced" "completed"
54 1676.5201 "female" "group C" "associate's degree" "free/reduced" "none"
66 1789.0481 "male" "group D" "high school" "standard" "none"
65 2296 "female" "group B" "some college" "free/reduced" "completed"
44 1341.8801 "male" "group D" "some college" "standard" "none"
69 2575.2961 "female" "group C" "some high school" "standard" "none"
74 3401 "male" "group D" "bachelor's degree" "free/reduced" "completed"
73 2477.6336 "male" "group A" "master's degree" "free/reduced" "none"
69 1410.0625 "male" "group B" "some college" "standard" "none"
67 2785.0625 "female" "group C" "bachelor's degree" "standard" "none"
70 1915.0625 "male" "group C" "high school" "standard" "none"
62 2785.0625 "female" "group D" "master's degree" "standard" "none"
69 2677.7216 "female" "group D" "some college" "standard" "none"
63 1676.5201 "female" "group B" "some college" "standard" "none"
56 1915.0625 "female" "group E" "master's degree" "free/reduced" "none"
40 1061.4656 "male" "group D" "some college" "standard" "none"
97 3687.3856 "male" "group E" "some college" "standard" "none"
81 3266.7121 "male" "group E" "associate's degree" "standard" "completed"
74 3839.8241 "female" "group D" "associate's degree" "standard" "none"
50 1576.4801 "female" "group D" "some high school" "free/reduced" "none"
75 4701.5056 "female" "group D" "associate's degree" "free/reduced" "completed"
57 1487.9681 "male" "group B" "associate's degree" "free/reduced" "none"
55 1374.8096 "male" "group C" "associate's degree" "free/reduced" "none"
58 2131.6496 "female" "group C" "associate's degree" "standard" "none"
53 1915.0625 "female" "group B" "associate's degree" "standard" "none"
59 1983.4496 "male" "group B" "some college" "free/reduced" "completed"
50 1374.8096 "female" "group E" "associate's degree" "free/reduced" "none"
65 1487.9681 "male" "group B" "associate's degree" "standard" "none"
55 1731.1616 "female" "group A" "associate's degree" "standard" "completed"
66 2897.4736 "female" "group C" "high school" "standard" "none"
57 2897.4736 "female" "group D" "associate's degree" "free/reduced" "completed"
82 3687.3856 "male" "group C" "high school" "standard" "completed"
53 1208.5136 "male" "group E" "some college" "standard" "none"
77 2131.6496 "male" "group E" "associate's degree" "free/reduced" "completed"
53 1104.8576 "male" "group C" "some college" "standard" "none"
88 2785.0625 "male" "group D" "high school" "standard" "none"
71 4515.3041 "female" "group C" "some high school" "free/reduced" "completed"
33 1118.5921 "female" "group C" "high school" "free/reduced" "none"
